"cost_code","cost_code_description","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03","2026-04","2026-05","2026-06"
"10-01-422","TROPICAL WORLD NURSERY-CONSTR.ENGINEERING.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-460","TROPICAL WORLD NURSERY-CONSTR.SAFETY SUPERVISOR.Labor","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","403.15","192.28","369.31","369.51","450.16","252.12","969.89","1762.47","4638.37","10478.82","6467.92","5846.07","6722.65","4298.95","4827.76","3367.04","2946.52","2461.26","1811.62","336.53"
"10-01-500","TROPICAL WORLD NURSERY-CONSTR.FURNITURE.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1556.18","-200.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","233.55","0.00","0.00","0.00"
"10-01-505","TROPICAL WORLD NURSERY-CONSTR.POSTAGE.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10.61","19.28","0.00","0.00","0.00","0.00","37.54","24.78","23.94","0.00","0.00","31.32","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-513","TROPICAL WORLD NURSERY-CONSTR.EQUIPMENT FUEL.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","51.64","424.45","1038.28","875.87","923.00","756.47","335.18","879.16","626.65","310.65","382.43","0.00","149.84","218.90","118.64","0.00","0.00","144.24","0.00","0.00"
"10-01-517","TROPICAL WORLD NURSERY-CONSTR.TELEPHONES.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.99","0.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","117.69","0.00","0.00","0.00","0.00","0.00","178.17","0.00","0.00","0.00"
"10-01-520","TROPICAL WORLD NURSERY-CONSTR.OFFICE SUPPLIES.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","575.63","87.62","0.00","850.94","1141.83","49.22","0.00","114.60","0.00","299.55","296.08","30.36","276.59","739.62","239.49","322.71","198.48","310.00","0.00"
"10-01-521","TROPICAL WORLD NURSERY-CONSTR.FIELD OFFICES & SHEDS.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18449.11","4117.09","3481.51","3621.51","3647.36","8179.87","4196.51","3812.36","355.85","7269.70","6453.29","3837.36","6716.27","9497.49","2161.74","1996.66","2161.74","2427.99","0.00"
"10-01-522","TROPICAL WORLD NURSERY-CONSTR.FIRST AID.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","90.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-523","TROPICAL WORLD NURSERY-CONSTR.SANITARY FACILITIES.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","175.33","318.86","1996.27","1661.81","1400.00","2800.00","500.00","1000.00","1600.00","600.00","1600.00","15575.00","1100.00","3750.00","2750.00","8400.00","3600.00","4050.00","1950.00","0.00"
"10-01-531","TROPICAL WORLD NURSERY-CONSTR.COMPUTER SOFTWARE & LICENSING.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","56.28","137589.66","140.00","-285.94","65.00","-65.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-532","TROPICAL WORLD NURSERY-CONSTR.SMALL TOOLS.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","293.08","32.04","704.78","845.58","235.37","1351.98","1515.89","2138.18","1611.50","1650.35","332.40","2850.18","2896.58","2648.48","1656.06","1381.14","557.28","938.46","536.55","1117.75","0.00"
"10-01-533","TROPICAL WORLD NURSERY-CONSTR.COMPUTER HARDWARE.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3689.86","117.69","22.57","1035.92","42.00","65.00","0.00","0.00","0.00","0.00","0.00","3000.00","465.90","165.00","165.00","0.00","47.84","0.00","0.00"
"10-01-534","TROPICAL WORLD NURSERY-CONSTR.SITE STORAGE.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","955.85","310.21","165.85","165.85","165.85","0.00","0.00","165.85","0.00","0.00","165.85","165.85","0.00","0.00","0.00","0.00","165.08","0.00","0.00","0.00"
"10-01-544","TROPICAL WORLD NURSERY-CONSTR.EQUIPMENT RENTAL.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1168.55","1086.05","818.55","1637.65","818.55","4128.30","5709.47","2656.15","4595.20","24622.02","7725.00","9383.49","8758.10","5248.33","1134.23","2684.23","3561.03","1038.90","0.00"
"10-01-552","TROPICAL WORLD NURSERY-CONSTR.JOB SIGN.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1037.20","853.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-565","TROPICAL WORLD NURSERY-CONSTR.ICE, CUPS & WATER COOLER.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","80.54","59.72","0.00","85.36","135.57","705.87","68.94","177.17","0.00","156.60","136.94","80.86","68.54","102.68","15.26","0.00","0.00"
"10-01-568","TROPICAL WORLD NURSERY-CONSTR.SECURITY MEASURES.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6699.27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-600","TROPICAL WORLD NURSERY-CONSTR.FIRE PROTECTION.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","219.83","0.00","0.00","5000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-612","TROPICAL WORLD NURSERY-CONSTR.JOBSITE CONSUMABLES.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","139.08","31.43","1309.43","432.12","738.89","492.32","2360.25","1958.14","1442.08","3712.73","4075.19","11125.34","740.70","942.22","891.28","946.88","836.31","574.47","477.64","0.00","0.00"
"10-01-743","TROPICAL WORLD NURSERY-CONSTR.JANTITOR SUPPLIES.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","156.28","0.00","0.00","0.00","55.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-870","TROPICAL WORLD NURSERY-CONSTR.PROG PHOTOS-GROUND.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","750.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10-01-871","TROPICAL WORLD NURSERY-CONSTR.PROG PHOTOS-AERIAL.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"15-01-426","TROPICAL WORLD NURSERY-CONSTR.SURVEY.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4060.00","3308.50","0.00","3747.50","4770.00","1787.50","0.00","1625.00","0.00","1445.00","0.00","2910.00","907.50","6435.00","0.00","-3217.50","0.00"
"15-01-460","TROPICAL WORLD NURSERY-CONSTR.SAFETY EQUIPMENT.Materials","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","221.77","0.00","0.00","1174.52","0.00","0.00","258.78","0.00","403.22","0.00","0.00","0.00","0.00","0.00","297.24","0.00","0.00","0.00"
