activity_id,activity_name,prior_finish,current_finish,prior_remaining_finish,current_remaining_finish,prior_source_float,current_source_float
P1B-02C-FIN-50,"FIRE SPRINKLER TRIM AT CORRIDOR","2026-08-12 16:00","2026-08-20 16:00",,,-520.0,-568.0
P1B-02C-FIN-60,"HVAC TRIM AT CORRIDOR","2026-08-12 16:00","2026-08-20 16:00",,,-520.0,-568.0
P1B-02C-FIN-70,"ELECTRICAL / FA TRIM  AT CORRIDOR","2026-08-12 16:00","2026-08-20 16:00",,,-536.0,-584.0
P1B-02C-FIN-80,"LOW VOLTAGE TRIM AT CORRIDOR","2026-08-12 16:00","2026-08-20 16:00",,,-520.0,-568.0
P1B-03C-FIN-160,"INSTALL FIRE EXTINGUISHER CABINETS  AT CORRIDOR","2026-08-12 16:00","2026-08-20 16:00",,,-520.0,-568.0
P1B-01U-FIN-100,"INSTALL CLOSET SHELVING","2026-08-11 16:00","2026-08-19 16:00",,,-456.0,-504.0
P1B-01U-FIN-300,"INSTALL MIRRORS","2026-08-11 16:00","2026-08-19 16:00",,,-624.0,-624.0
P2-03C-FIN-140,"OWNER ACCEPTANCE / TURNOVER CORRIDOR","2026-08-13 16:00","2026-08-19 16:00",,,-384.0,-416.0
U13-P2-FIN-210,"GC COMPLETION - CORRIDOR & BOH ROOMS","2026-08-14 16:00","2026-08-19 16:00",,,-480.0,-504.0
U13-P2-FIN-70,"GC COMPLETION - UNITS 238-259","2026-08-14 16:00","2026-08-19 16:00",,,-560.0,-544.0
U13-P2CO-20,"FINAL PBC ZONING & ENGINEERING INSPECTIONS","2026-08-13 16:00","2026-08-19 16:00",,,-464.0,-496.0
U13-P3-FIN-290,"GC COMPLETION - CORRIDOR & BOH ROOMS","2026-08-11 16:00","2026-08-19 16:00",,,-240.0,-288.0
P1A-EAST-A-70,"BUILDING EXTERIOR LIGHTS - East Elev.","2026-06-17 16:00","2026-08-18 16:00",,,-152.0,-496.0
P1B-02C-FIN-40,"PRIME PAINT DRYWALL AT CORRIDOR","2026-08-10 16:00","2026-08-18 16:00",,,-536.0,-584.0
P1B-03C-FIN-50,"FIRE SPRINKLER TRIM AT CORRIDOR","2026-08-10 16:00","2026-08-18 16:00",,,-504.0,-552.0
P1B-03C-FIN-60,"HVAC TRIM AT CORRIDOR","2026-08-10 16:00","2026-08-18 16:00",,,-504.0,-552.0
P1B-03C-FIN-70,"ELECTRICAL / FA TRIM  AT CORRIDOR","2026-08-10 16:00","2026-08-18 16:00",,,-520.0,-568.0
P1B-03C-FIN-80,"LOW VOLTAGE TRIM AT CORRIDOR","2026-08-10 16:00","2026-08-18 16:00",,,-504.0,-552.0
P2-03C-FIN-130,"OWNER PUNCH CORRIDOR","2026-08-12 16:00","2026-08-18 16:00",,,-384.0,-416.0
P2-03U-FIN-270,"OWNER ACCEPTANCE / TURNOVER UNITS","2026-08-10 16:00","2026-08-18 16:00",,,-360.0,-408.0
P2-EAST-D1/2-50,"BUILDING EXTERIOR LIGHTS","2026-06-22 16:00","2026-08-18 16:00",,,-216.0,-536.0
U13-P2-FIN-40,"OWNER PUNCH WALK - CORRIDOR & BOH ROOMS","2026-07-31 16:00","2026-08-18 16:00",,,-376.0,-472.0
U14-CLOSEOUT-50,"TEST & BALANCE - PHASE 2","2026-08-10 16:00","2026-08-18 16:00",,,-480.0,-528.0
P1B-01U-FIN-80,"FINAL PAINT 1ST COAT","2026-08-07 16:00","2026-08-17 16:00",,,-624.0,-624.0
P1B-02U-FIN-270,"OWNER ACCEPTANCE / TURNOVER UNITS","2026-08-07 16:00","2026-08-17 16:00",,,-440.0,-488.0
P2-03U-FIN-260,"OWNER PUNCH UNITS","2026-08-07 16:00","2026-08-17 16:00",,,-360.0,-408.0
P1B-02U-FIN-125,"INSTALL MAJOR APPLIANCES","2026-08-06 16:00","2026-08-14 16:00",,,-536.0,-584.0
P1B-02U-FIN-260,"OWNER PUNCH UNITS","2026-08-06 16:00","2026-08-14 16:00",,,-440.0,-488.0
P1B-03C-FIN-40,"PRIME PAINT DRYWALL AT CORRIDOR","2026-08-06 16:00","2026-08-14 16:00",,,-520.0,-568.0
P2-01U-FIN-250,"OWNER WALK UNITS","2026-07-29 16:00","2026-08-14 16:00",,,-400.0,-496.0
P2-03C-FIN-120,"OWNER WALK CORRIDOR","2026-08-10 16:00","2026-08-14 16:00",,,-384.0,-416.0
U13-P1-FIN-100,"OWNER ACCEPTANCE - UNITS 111-137, 176-177","2026-08-06 16:00","2026-08-14 16:00",,,-128.0,-176.0
U13-P2-FIN-30,"OWNER PUNCH WALK - UNITS 238-259","2026-07-29 16:00","2026-08-14 16:00",,,-400.0,-496.0
P1B-03U-FIN-270,"OWNER ACCEPTANCE / TURNOVER UNITS","2026-08-05 16:00","2026-08-13 16:00",,,-424.0,-472.0
