activity_id,activity_name,prior_finish,current_finish,prior_source_float,current_source_float,source_float_delta
U14-CLOSEOUT-30,"TEST & BALANCE - PHASE 1","2026-06-23 16:00","2026-07-23 16:00",-16.0,-184.0,-168.0
U14-CLOSEOUT-40,"COMMISSIONING - PHASE 1","2026-06-30 16:00","2026-07-30 16:00",-16.0,-184.0,-168.0
P1A-FITNESS-20,"INSTALL FITNESS FLOORING","2026-06-05 16:00","2026-07-02 16:00",-136.0,-288.0,-152.0
P1A-FITNESS-30,"INSTALL FITNESS MIRRORS","2026-06-09 16:00","2026-07-07 16:00",-136.0,-288.0,-152.0
P1A-FITNESS-40,"INSTALL FITNESS EQUIPMENT","2026-06-11 16:00","2026-07-09 16:00",-136.0,-288.0,-152.0
P1A-KITCHEN-110,"COOLER/FREEZER STARTUP","2026-06-08 16:00","2026-07-06 16:00",-112.0,-264.0,-152.0
P1A-KITCHEN-180,"GC PUNCH KITCHEN","2026-06-12 16:00","2026-07-10 16:00",72.0,-80.0,-152.0
FILTER-OUT-20,"ENVELOPE COMPLETION","2026-07-30 16:00","2026-08-25 16:00",-392.0,-536.0,-144.0
P1A-EAST-A-90,"INSTALL AWNINGS - East Elev.","2026-06-12 16:00","2026-07-08 16:00",-312.0,-448.0,-136.0
P1A-EAST-C1-70,"INSTALL AWNINGS - (MODIFIED FROM SECTOR C1 TO A)","2026-07-06 16:00","2026-07-29 16:00",-312.0,-448.0,-136.0
P1A-SOUTH-C1/B-70,"INSTALL AWNINGS - (MODIFIED FROM SECTOR C1 TO A)","2026-06-26 16:00","2026-07-22 16:00",-312.0,-448.0,-136.0
P1B-01C-FIN-10,"HANG DRYWALL AT CORRIDOR","2026-06-19 16:00","2026-07-14 16:00",-352.0,-488.0,-136.0
P1B-01C-FIN-30,"FINISH DRYWALL AT CORRIDOR","2026-07-06 16:00","2026-07-28 16:00",-352.0,-488.0,-136.0
P1B-NORTH-C2-50,"INSTALL AWNINGS","2026-06-29 16:00","2026-07-23 16:00",-288.0,-424.0,-136.0
P1B-NWCY-C2-50,"INSTALL AWNINGS","2026-07-13 16:00","2026-08-05 16:00",-288.0,-424.0,-136.0
P1B-WEST-C2-50,"INSTALL AWNINGS","2026-07-02 16:00","2026-07-28 16:00",-240.0,-376.0,-136.0
P2-EAST-D1/2-60,"INSTALL AWNINGS","2026-07-09 16:00","2026-08-03 16:00",-312.0,-448.0,-136.0
P2-NORTH-D1/2-60,"INSTALL AWNINGS","2026-06-24 16:00","2026-07-20 16:00",-288.0,-424.0,-136.0
P2-NWECY-D1/2-50,"INSTALL AWNINGS","2026-07-02 16:00","2026-07-28 16:00",-288.0,-424.0,-136.0
U14-PCY-S-50,"INSTALL AWNINGS","2026-07-08 16:00","2026-07-31 16:00",-288.0,-424.0,-136.0
P1A-KITCHEN-170,"INSTALL ANSL SYSTEM","2026-06-16 16:00","2026-07-09 16:00",-160.0,-288.0,-128.0
U13-SITEDEVCOMP-E-70,"2ND LIFT ASPHALT NORTH","2026-06-25 16:00","2026-07-20 16:00",-312.0,-440.0,-128.0
P1B-01-RI-150,"CEILING COVER-UP INSPECTION","2026-06-08 16:00","2026-07-07 16:00",-480.0,-592.0,-112.0
P1B-01-RI-50,"INSTALL HM UNIT ENTRY FRAMES","2026-06-01 16:00","2026-06-29 16:00",-504.0,-616.0,-112.0
P1B-02-RI-50,"INSTALL HM UNIT ENTRY FRAMES","2026-06-05 16:00","2026-07-06 16:00",-504.0,-616.0,-112.0
P1B-03C-FIN-30,"FINISH DRYWALL AT CORRIDOR","2026-06-19 16:00","2026-07-10 16:00",-272.0,-384.0,-112.0
